	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ACAT2	11.2979594712302	11.2715754484192	11.3040352770896	11.3221327781668	11.2354783463553	11.3407702410795	11.2687358129441	11.2567596341383
ACBD3	11.8279879330175	11.7822866649118	11.7152449561019	11.694544829169	11.8762224247427	11.6894944912522	11.7283392944679	11.6419732011121
ACBD4	8.27170400890825	8.48442830717449	9.06191585313776	9.12142088681833	8.7617296031251	8.79954787472318	8.748403249097	8.86122802032964
ACBD5	10.4760380809695	10.4286542100411	10.3545212362903	10.3257088269267	10.4445021609539	10.5741377043945	10.6115169471269	10.6014117231167
ACBD6	9.97579222692756	10.0139655802933	10.0961016383432	10.1487596092795	10.2092875059162	10.2204825760542	10.2072841372226	10.1434142214113
ACBD7	8.82492934142114	8.93883679580972	8.70428061912918	8.73092310020473	8.78193196188851	9.22384256044856	9.09111748903554	9.03311181865249
ACCN1	0.712913768754427	1.04915498583224	0	0.920206440533657	0	0	1.02778590416034	1.87759261098564
ACCN2	9.30187038690401	9.52072036929577	10.0628123613127	10.2715357567778	10.0245204944217	9.41295720981376	9.46435826374219	9.51406218581023
ACCN3	5.85501546109983	6.36226168382989	6.2460207452899	6.82579381612933	6.24756722599492	5.92346785692939	6.05420260567427	6.2957927829398
ACCN4	5.36681205948924	5.26401506301609	3.56301579541056	4.16634068023516	0	3.75202586634323	4.51202129174781	4.39640634240596
ACCN5	0	0	0	0	0	0	0	0
ACCS	6.31489012846076	6.11761852291136	7.25232174342706	6.98671167191354	7.23804206556689	6.77735992860109	7.00880743757039	7.05954326617575
ACCSL	0	1.04915498583224	0.873591161997045	0	0	0	1.02778590416034	0
ACD	8.49257633644653	8.55585612555983	8.57801726989294	8.77273283574679	8.30481373332404	8.92384685511052	8.8231071997231	8.83189097266844
ACE	6.7427131795786	6.79623041147765	7.8908716922955	7.82510935719051	7.63226108198266	7.06340592489561	6.69836274646773	6.64328922437846
ACE2	4.73142491863516	4.55186459265498	4.99059485559641	5.04988767053604	4.7556259841582	4.96773006571962	4.44478998749708	4.56889654178025
ACER1	1.1879086418442	0	0	0.920206440533657	0	0	1.02778590416034	1.22484716351885
ACER2	6.26780239660989	6.13966665067314	6.74851360333392	6.61868033723715	6.67235245474375	6.04524818531524	6.26377007453847	6.2458223950069
ACER3	9.66425714159401	9.67965104794365	9.68661186764446	9.65611128792132	9.81746736895521	9.67123136914879	9.76406603924202	9.58611571794717
ACHE	6.30326149301781	6.22463659640238	7.3139842334046	7.2290925115551	7.05092984964084	5.12333350245586	5.33906344262927	5.45265539093455
ACIN1	13.0640374782999	12.9666570568908	12.5675677456925	12.4944245848095	12.386740126791	12.660975939015	12.6383558234169	12.719324911945
ACLY	13.886103034746	13.8767106330215	13.624556514425	13.6155741882005	13.5332874723278	13.7814237602468	13.7240383614137	13.7823356531789
ACMSD	0	0	0	0	0	0	0	0
ACN9	9.46340114418603	9.31327888786553	9.39181862400616	9.42280589398293	9.44869983092281	9.23668329584556	9.25217143625842	9.10143949875237
ACO1	9.64134882437951	9.58640810011162	9.59488122631476	9.50306540588636	9.58716417335364	9.81800322653443	9.87356912069768	9.74519313180586
ACO2	11.1923835303161	11.1478550848737	10.7754612096074	10.8664901831511	10.6753221871057	10.9864065829684	10.9753717422964	10.9504661297661
