gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HSPA9	10228.5985950749	0.19734613615938	0.0478863850270584	4.12113246902786	3.77014554303956e-05	0.000316761365285476
PRKG1	563.598122038068	-0.420346273003189	0.102004973306463	-4.12084096860946	3.77491939998781e-05	0.00031699147974992
ABCD2	43.9193595855086	-1.36045643255791	0.330193791529471	-4.12017568911949	3.78583608028401e-05	0.000317736899906164
RBM11	255.108588635692	-0.606017746503309	0.14719103725066	-4.11721907680621	3.83471518431505e-05	0.00032166590428689
KARS	3024.25179046241	0.224509121002271	0.0545368699236936	4.1166484493224	3.84421757909695e-05	0.000322289436111912
TXNDC9	713.890879056042	0.412230953451702	0.100155851770795	4.11589483952557	3.8568013480914e-05	0.000323170492733834
GREM2	40.3489976406818	-1.5042478720677	0.365558922944595	-4.11492587829867	3.87303851459659e-05	0.00032421780400429
NUP188	4976.6886859027	0.246769139880838	0.0599696478696707	4.11490059800135	3.87346301118305e-05	0.00032421780400429
BYSL	1826.35712093284	0.290912108329703	0.0707293616419717	4.11303172510287	3.90496696833128e-05	0.000326679218397939
RAB36	294.128762532457	-0.575659158742861	0.140091468576275	-4.10916642243231	3.9708984603727e-05	0.000332016561015703
MNS1	322.787190775845	-0.498790571053266	0.121406406183988	-4.10843699876399	3.98345834736805e-05	0.000332888040112404
IL6ST	2488.26687265791	0.295509226151143	0.0719476083966651	4.10728351833361	4.00339701360661e-05	0.000334230979689146
RPS6	14149.3002487727	0.291332322587741	0.0709310793690401	4.10725911940516	4.00381978622293e-05	0.000334230979689146
PXK	458.182239460441	0.428723997876439	0.104386692582745	4.10707521494273	4.00700775568866e-05	0.000334317942208689
PYCR1	2157.59827692563	-0.301536717403761	0.0734239600528009	-4.10678908066139	4.01197266121769e-05	0.000334552987921777
SCN4A	74.001938248099	-1.02805942076507	0.250381122916514	-4.10597815358413	4.02607533198408e-05	0.000335549360333419
ADAM17	1195.9367669593	0.298883416490386	0.0728111880172983	4.10491058626015	4.04471292477973e-05	0.000336922423686063
SCAPER	960.41358670154	-0.333371907281804	0.0812227514800338	-4.10441534184857	4.05338667607484e-05	0.000337464480241677
ROBO2	334.254997613333	-0.527608536481478	0.128598518264889	-4.10275750918608	4.08255071115058e-05	0.00033971096382261
DAB2	718.500931258423	-0.340957862822759	0.0831712749217515	-4.09946659040079	4.14103440747831e-05	0.00034439344882696
VAV3	367.878783382279	-0.459526014378051	0.112098247084226	-4.09931489858877	4.14374923254883e-05	0.000344435335087583
GCLC	2182.02675637422	0.263058105618687	0.0641766602336359	4.09896845147474	4.14995592324224e-05	0.000344767271553837
CDC40	1427.33622817525	0.294236149221164	0.0717860935727602	4.09879037258011	4.15314968455592e-05	0.000344848681430317
DBT	1563.99802008718	0.278648506870596	0.0679855119321901	4.09864541651941	4.15575112504136e-05	0.000344880848560305
TMEM144	403.171693421013	-0.454996275211295	0.111065192808603	-4.09665948174585	4.19154757166835e-05	0.000347666328668146
HIST1H3E	64.8704956568099	0.978608272206051	0.238950420043399	4.09544487106703	4.21358488247759e-05	0.00034930820497261
HERC1	1079.19531478546	0.340912734035398	0.0832483072357646	4.09513112464751	4.21929518545918e-05	0.00034959553778669
SDC4	839.311859566441	-0.383467848735724	0.0936468947731264	-4.0948271660767	4.22483434734665e-05	0.000349868392496644
LSAMP	172.911835813084	-0.701435687978432	0.171334401674308	-4.09395708698246	4.24072832078168e-05	0.000350998007719533
TMEM39A	1100.67696954524	0.297447842952661	0.0726683238162117	4.09322559448251	4.25413457216926e-05	0.000351920627884655
CYP4X1	152.46328556729	-0.677445307222296	0.165557645270966	-4.09189987036559	4.27853398870947e-05	0.000353751188652481
DLGAP5	2844.58321345693	0.329642859250618	0.0805840609173707	4.09067072939681	4.3012743852588e-05	0.000355442711401466
MFSD11	866.26916591098	0.313309163269951	0.0766096843410705	4.08968090607294	4.3196704511583e-05	0.000356773629998371
F11R	1230.1451366911	-0.283231473787018	0.0692742548634722	-4.08855316228545	4.34072075247424e-05	0.000358322242508168
MYH9	8544.34502694162	0.224493455755718	0.0549120180698483	4.0882390348532	4.34660151425058e-05	0.000358617647179456
C3orf52	692.103240537565	-0.373096743173557	0.0913055702474074	-4.08624295497624	4.38414697329584e-05	0.000361332578852007
UBR2	2581.43182306257	0.243261526777047	0.0595311774459657	4.08628784468183	4.3832992450251e-05	0.000361332578852007
TM9SF1	959.248500348308	0.312135658509662	0.0764369923911912	4.08356803093725	4.43494377170202e-05	0.000365325854742476
STXBP6	211.140110996851	-0.598582777767078	0.146624410332744	-4.08242240435051	4.45686952115619e-05	0.000366936309459574
YPEL3	536.364741339549	-0.417868646776837	0.102361065714375	-4.08230066637682	4.45920545552401e-05	0.000366936309459574
LRRFIP2	1323.96977142332	0.278692591252648	0.0682789680031287	4.08167550569713	4.47121947701601e-05	0.000367730653608651
AGAP5	100.375711047488	0.784778307135329	0.19240744219552	4.07873156142192	4.5282085528762e-05	0.000372221132602388
ADH1C	18.6604468332324	1.78719972805089	0.438496284761993	4.07574656880148	4.58669517172166e-05	0.000376829908702048
HOMER1	1372.78278020286	-0.304298680831436	0.0746638013786525	-4.07558515924211	4.58987808758437e-05	0.000376892625041126
FAR2	702.012394380535	-0.359817923582415	0.0883185055841843	-4.07409433846727	4.61937551023762e-05	0.000379114922671082
CCDC137	1190.99606524725	0.355053462200349	0.0871643026812635	4.07338154816294	4.63354223689542e-05	0.000379877302232211
INPP4B	154.10315687941	-0.724098156373982	0.17775885254258	-4.0734857702827	4.63146825093402e-05	0.000379877302232211
