Geneid	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YGR269W	24	12	24	47	53	78
YGR270W	1064	930	1396	1732	1940	2071
YGR270C-A	0	0	0	0	0	0
YGR271W	573	537	691	1052	849	666
YGR271C-A	1767	2006	1396	567	190	295
YGR273C	0	0	0	2	0	3
YGR274C	960	997	1151	1412	1254	1175
YGR275W	1293	1256	1383	1558	1415	1386
YGR276C	1491	1700	1710	2482	2040	2006
YGR277C	1383	1751	1244	2835	3077	2230
YGR278W	584	421	447	547	684	771
YGR279C	2930	2586	3740	1079	1560	2382
YGR280C	1143	681	870	325	411	484
YGR281W	699	918	1146	2641	3695	2970
YGR282C	14225	12226	11373	16774	16798	16086
YGR283C	1062	1075	839	559	300	306
YGR284C	2635	2829	3065	5125	4888	4859
YGR285C	5735	4194	5563	2960	2304	3396
YGR286C	1226	1545	1249	2766	2944	1773
YGR287C	68	93	130	194	194	175
YGR288W	237	248	387	446	766	647
YGR289C	161	152	442	601	759	777
YGR290W	6	6	26	13	15	21
YGR291C	0	0	2	2	2	1
YGR292W	10	21	38	278	149	81
YGR293C	5	2	13	5	1	9
YGR294W	3	8	17	12	13	4
YGR295C	2382	2233	2572	3788	5322	4400
YGR296W	0	0	0	1	0	0
YGR296C-A	0	0	0	0	0	0
YGR296C-B	0	0	0	0	0	0
YLL067C	15	11	17	13	14	21
YLL067W-A	0	0	0	0	0	0
YLL066W-B	0	0	0	0	0	1
YLL066C	17	16	20	20	16	25
YLL066W-A	0	0	0	0	0	0
YLL065W	0	0	0	0	0	0
YLL064C	0	0	0	0	0	0
YLL063C	131	89	174	163	313	369
YLL062C	34	14	54	115	169	156
